Date,tpr
01/04/20,0.301318267
02/04/20,0.532166509
03/04/20,0.590874275
04/04/20,0.667077176
05/04/20,0.71421583
06/04/20,0.802538261
07/04/20,0.845797721
08/04/20,1.989554837
09/04/20,1.669017395
10/04/20,1.642857143
11/04/20,1.538809685
12/04/20,1.30033557
13/04/20,1.046909603
14/04/20,1.019388367
15/04/20,0.957897082
16/04/20,0.810234542
17/04/20,0.682302772
18/04/20,0.563869009
19/04/20,0.596056855
20/04/20,0.712005892
21/04/20,0.995767986
22/04/20,1.150483203
23/04/20,1.347229283
24/04/20,1.406289951
25/04/20,1.617401004
26/04/20,1.859561477
27/04/20,1.685649203
28/04/20,1.281772757
29/04/20,1.158609668
30/04/20,0.813404913
01/05/20,0.848222343
02/05/20,0.447522643
03/05/20,0.352633375
04/05/20,0.236873273
05/05/20,0.219043938
06/05/20,0.103107969
07/05/20,0.097370983
08/05/20,0.0968523
09/05/20,0.215208034
10/05/20,0.329614604
11/05/20,0.458190149
12/05/20,0.517038778
13/05/20,0.588019111
14/05/20,0.848821894
15/05/20,0.964970258
16/05/20,0.986762936
17/05/20,1.016329793
18/05/20,1.186024148
19/05/20,1.165201935
20/05/20,1.201638598
21/05/20,1.146991353
22/05/20,1.350532421
23/05/20,1.723563697
24/05/20,2.073499663
25/05/20,2.225941423
26/05/20,2.524577271
27/05/20,2.528511405
28/05/20,2.793178469
29/05/20,2.640222335
30/05/20,2.462233853
31/05/20,2.703741671
01/06/20,2.211934156
02/06/20,2.151825937
03/06/20,1.792821412
04/06/20,1.71998624
05/06/20,1.840367403
06/06/20,1.961426373
07/06/20,1.873801638
08/06/20,2.15507665
09/06/20,1.713469776
10/06/20,1.870547984
11/06/20,1.808059093
12/06/20,1.710974404
13/06/20,1.619608055
14/06/20,1.469087393
15/06/20,1.425921018
16/06/20,1.695188372
17/06/20,1.738961165
18/06/20,1.663591543
19/06/20,1.773262804
20/06/20,1.874425364
21/06/20,2.088903252
22/06/20,2.241575825
23/06/20,2.372503005
24/06/20,2.535116683
25/06/20,2.698398911
26/06/20,2.698239427
27/06/20,2.813215571
28/06/20,2.703349282
29/06/20,2.577638152
30/06/20,2.508162284
01/07/20,2.388419783
02/07/20,2.37593985
03/07/20,2.497991046
04/07/20,2.53082559
05/07/20,2.616199338
06/07/20,2.566260815
07/07/20,2.66921578
08/07/20,2.802365042
09/07/20,2.947699437
10/07/20,2.943355959
11/07/20,2.985114514
12/07/20,3.081539761
13/07/20,1.922269132
14/07/20,2.036558779
15/07/20,2.131616868
16/07/20,2.266558418
17/07/20,2.436800663
18/07/20,2.354273221
19/07/20,2.490593374
20/07/20,3.817511833
21/07/20,3.829545884
22/07/20,4.052095197
23/07/20,4.168006
24/07/20,4.064383008
25/07/20,4.604482201
26/07/20,4.666899596
27/07/20,4.539155758
28/07/20,4.856760752
29/07/20,4.682211748
30/07/20,4.385387235
31/07/20,4.693750177
01/08/20,4.680949999
02/08/20,4.771010878
03/08/20,4.892777915
04/08/20,4.720209609
05/08/20,4.881740273
06/08/20,5.259895396
07/08/20,5.042304982
08/08/20,4.995438636
09/08/20,5.037994376
10/08/20,5.181893952
11/08/20,5.327856689
12/08/20,5.219263627
13/08/20,5.16204207
14/08/20,5.196870048
15/08/20,5.119722334
16/08/20,5.079614546
17/08/20,5.188723013
18/08/20,5.15700023
19/08/20,5.494140856
20/08/20,5.544901674
21/08/20,5.656713539
22/08/20,5.795361645
23/08/20,5.773648944
24/08/20,5.553962455
25/08/20,5.710469671
26/08/20,5.662419718
27/08/20,5.783367952
28/08/20,5.839917819
29/08/20,5.974896635
30/08/20,6.307312081
31/08/20,6.649694544
01/09/20,6.904094091
02/09/20,6.897609446
03/09/20,6.742668449
04/09/20,6.944557474
05/09/20,6.922106424
06/09/20,6.899273371
07/09/20,6.830024213
08/09/20,6.768196671
09/09/20,7.035062959
10/09/20,7.458050601
11/09/20,7.706399562
12/09/20,7.625133758
13/09/20,7.851355556
14/09/20,8.175726957
15/09/20,8.102754891
16/09/20,8.224928136
17/09/20,8.534821013
18/09/20,8.543071214
19/09/20,9.080831538
20/09/20,9.316006912
21/09/20,9.332783024
22/09/20,9.773085312
23/09/20,10.08139992
24/09/20,10.31536042
25/09/20,10.75672529
26/09/20,11.10432604
27/09/20,11.5514329
28/09/20,11.67335746
29/09/20,12.05403195
30/09/20,12.61176
01/10/20,12.9252937
02/10/20,13.39735601
03/10/20,13.76708832
04/10/20,13.85627628
05/10/20,13.95722956
06/10/20,13.82555149
07/10/20,13.82477694
08/10/20,13.08410543
09/10/20,12.95170006
10/10/20,13.49054864
11/10/20,13.78646734
12/10/20,14.00073487
13/10/20,14.79378485
14/10/20,14.67932398
15/10/20,15.79698868
16/10/20,15.981509
17/10/20,15.8931009
18/10/20,15.2682535
19/10/20,14.89741456
20/10/20,14.04351632
21/10/20,14.16500681
22/10/20,13.85544442
23/10/20,13.70782244
24/10/20,12.98393376
25/10/20,13.12147208
26/10/20,12.98125898
27/10/20,12.94615723
28/10/20,12.88905743
29/10/20,12.82749767
30/10/20,12.69684432
31/10/20,12.88711645
01/11/20,12.8735582
02/11/20,12.89609069
03/11/20,12.75856258
04/11/20,12.54471701
05/11/20,12.26750117
06/11/20,12.07038603
07/11/20,11.756215
08/11/20,11.39860279
09/11/20,11.28744553
10/11/20,11.25435778
11/11/20,11.07124222
12/11/20,10.8582965
13/11/20,10.69043255
14/11/20,10.53747819
15/11/20,10.38330298
16/11/20,10.3506125
17/11/20,10.25198594
18/11/20,10.00621354
19/11/20,9.797318546
20/11/20,9.800952758
21/11/20,9.682388169
22/11/20,9.809927291
23/11/20,9.813775355
24/11/20,9.626258724
25/11/20,9.676534329
26/11/20,9.863566935
27/11/20,9.873073014
28/11/20,9.901677396
29/11/20,9.959627145
30/11/20,9.884299846
01/12/20,9.903583585
02/12/20,10.10427073
03/12/20,9.979303692
04/12/20,9.958632166
05/12/20,9.943992754
06/12/20,9.661282657
07/12/20,9.656003875
08/12/20,9.522798742
09/12/20,9.248129068
10/12/20,9.195850072
11/12/20,9.000894183
12/12/20,9.048629153
13/12/20,9.16558606
14/12/20,9.055359286
15/12/20,9.212212781
16/12/20,9.341368563
17/12/20,9.272309336
18/12/20,9.467299578
19/12/20,9.552028522
20/12/20,9.630631201
21/12/20,9.743486471
22/12/20,9.747296114
23/12/20,9.754310268
24/12/20,9.92915896
25/12/20,10.06049088
26/12/20,9.973191404
27/12/20,9.963449809
28/12/20,9.911702525
29/12/20,9.952671631
30/12/20,9.910708595
31/12/20,9.858595396
01/01/21,9.632545708
02/01/21,9.637365104
03/01/21,9.524630993
04/01/21,9.501257955
05/01/21,9.440998475
06/01/21,9.474847089
07/01/21,9.371820275
08/01/21,9.244448886
09/01/21,9.125664722
10/01/21,9.149161189
11/01/21,9.13026987
12/01/21,9.024512538
13/01/21,8.807802228
14/01/21,8.761604302
15/01/21,8.807642736
16/01/21,8.834176367
17/01/21,8.804337396
18/01/21,8.907710562
19/01/21,9.035616399
20/01/21,9.400902267
21/01/21,9.761008165
22/01/21,10.1648559
23/01/21,10.51814551
24/01/21,10.88886836
25/01/21,10.95428338
26/01/21,11.15298928
27/01/21,11.15410317
28/01/21,11.08625357
29/01/21,10.93207687
30/01/21,10.81598377
31/01/21,10.58468839
01/02/21,10.53464726
02/02/21,10.58975285
03/02/21,10.53490539
04/02/21,9.940456542
05/02/21,9.0218132
06/02/21,8.469122098
07/02/21,8.345857789
08/02/21,8.157215618
09/02/21,7.782284991
10/02/21,7.405158809
11/02/21,7.423521681
12/02/21,7.644506381
13/02/21,7.500600492
14/02/21,7.259132125
15/02/21,7.20873018
16/02/21,7.085324428
17/02/21,7.008148328
18/02/21,6.922368604
19/02/21,6.832597609
20/02/21,6.954746238
21/02/21,6.90453946
22/02/21,6.773361289
23/02/21,6.63999688
24/02/21,6.450600599
25/02/21,6.299463757
26/02/21,6.103336275
27/02/21,5.801370796
28/02/21,5.546589921
01/03/21,5.389833495
02/03/21,5.165624378
03/03/21,4.989719389
04/03/21,4.755286612
05/03/21,4.570077249
06/03/21,4.463608883
07/03/21,4.302541342
08/03/21,4.247123098
09/03/21,4.117274588
10/03/21,4.018094342
11/03/21,3.83681259
12/03/21,3.72269437
13/03/21,3.565406228
14/03/21,3.500460686
15/03/21,3.416037397
16/03/21,3.370838012
17/03/21,3.294080285
18/03/21,3.368059445
19/03/21,3.412911188
20/03/21,3.420408749
21/03/21,3.497181042
22/03/21,3.58180401
23/03/21,3.620913126
24/03/21,3.75511202
25/03/21,3.81495532
26/03/21,3.780252279
27/03/21,3.843907132
28/03/21,3.912934715
29/03/21,3.972196039
30/03/21,4.073198863
31/03/21,4.215339631
01/04/21,4.405693687
02/04/21,4.606162822
03/04/21,4.84834017
04/04/21,5.049188586
05/04/21,5.242625379
06/04/21,5.557956658
07/04/21,5.622745001
08/04/21,5.901267001
09/04/21,6.399796225
10/04/21,7.04782206
11/04/21,7.721003051
12/04/21,8.420439823
13/04/21,9.066625453
14/04/21,10.17327032
15/04/21,11.11034521
16/04/21,12.12549829
17/04/21,13.28155467
18/04/21,14.36349175
19/04/21,14.71956355
20/04/21,15.80839637
21/04/21,16.5432635
22/04/21,17.4645817
23/04/21,18.42202784
24/04/21,18.86324123
25/04/21,19.67275004
26/04/21,20.4285527
27/04/21,21.25773728
28/04/21,22.27020008
29/04/21,22.98939101
30/04/21,23.45859067
01/05/21,24.01895719
02/05/21,24.75000292
03/05/21,25.18971066
04/05/21,25.61602938
05/05/21,25.66791518
06/05/21,26.11789953
07/05/21,26.38878342
08/05/21,26.98961866
09/05/21,27.06964547
10/05/21,27.12501022
11/05/21,27.22711695
12/05/21,27.87490421
13/05/21,28.08133078
14/05/21,28.06799783
15/05/21,27.84470329
16/05/21,27.41230128
17/05/21,27.13390258
18/05/21,26.60159016
19/05/21,25.54209842
20/05/21,24.68622301
21/05/21,24.04367985
22/05/21,23.47000562
23/05/21,23.09673307
24/05/21,22.66156713
25/05/21,22.26685862
26/05/21,21.71897521
27/05/21,20.9112618
28/05/21,20.02114623
29/05/21,19.11653228
30/05/21,18.22953831
31/05/21,17.58556162
01/06/21,16.71447278
02/06/21,15.98221339
03/06/21,15.58213951
04/06/21,15.35196571
05/06/21,15.07426224
06/06/21,14.83155746
07/06/21,14.80570516
08/06/21,14.65591946
09/06/21,14.45835634
10/06/21,14.18167949
11/06/21,13.95505458
12/06/21,13.61786533
13/06/21,13.33988479
14/06/21,13.15322965
15/06/21,12.79171959
16/06/21,12.419858
17/06/21,12.01114528
18/06/21,11.54156691
19/06/21,11.14433823
20/06/21,10.96024169
21/06/21,10.78856493
22/06/21,10.64495126
23/06/21,10.42052084
24/06/21,10.34854335
25/06/21,10.40258751
26/06/21,10.47031744
27/06/21,10.4207902
28/06/21,10.3977988
29/06/21,10.44426833
30/06/21,10.33801281
01/07/21,10.32849427
02/07/21,10.25879564
03/07/21,10.22149945
04/07/21,10.19250234
05/07/21,10.25484681
06/07/21,10.24773399
07/07/21,10.35744841
08/07/21,10.43643689
09/07/21,10.47658559
10/07/21,10.52214708
11/07/21,10.5539466
12/07/21,10.46409136
13/07/21,10.39716987
14/07/21,10.33971778
15/07/21,10.35631081
16/07/21,10.37784799
17/07/21,10.39432318
18/07/21,10.42505651
19/07/21,10.60737287
20/07/21,10.82997748
21/07/21,11.14894772
22/07/21,11.31940893
23/07/21,11.76707265
24/07/21,11.96149374
25/07/21,12.19749726
26/07/21,12.1163972
27/07/21,12.19037602
28/07/21,12.02969
29/07/21,12.22341442
30/07/21,12.25090491
31/07/21,12.30686264
01/08/21,12.28335469
,